BIB_ID,MFHD_ID,ITEM_ID,LOCATION_NAME,Expr1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130600,2554533,2866682,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130586,2554532,2866681,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130476,2554531,2866680,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130433,2554530,2866679,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131228,2554527,2866678,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174887,1285796,2866664,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408149,2554616,2866740,Carlson Circulating Books,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408133,2554602,2866729,Carlson Circulating Books,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408132,2554601,2866725,Carlson Circulating Books,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2391630,2529600,2866710,Koller-Collins Reference,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405295,2554689,2866836,GEH Main Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077907,2554670,2866794,GEH Main Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2087228,2554669,2866793,GEH Main Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408199,2554663,2866791,GEH Main Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408189,2554652,2866790,GEH Main Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408187,2554650,2866789,GEH Main Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408183,2554645,2866781,GEH Main Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373313,2554641,2866774,GEH Main Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386840,2554639,2866771,GEH Main Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405291,2547930,2866702,Art Stacks,Renewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866815,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408130,2554599,2866720,MAG Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408129,2554598,2866717,MAG Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392307,2530309,2866766,POA Circulating Books,Renewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390471,2528208,2866780,Sib Music Circ Folios,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386530,2524105,2866775,Sib Music Circ Folios,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386527,2524104,2866772,Sib Music Circ Folios,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386517,2524100,2866770,Sib Music Circ Folios,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386522,2524099,2866768,Sib Music Circ Folios,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385820,2523431,2866689,Sib Music Restrict Circ,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921170,2078853,2866694,Sib Music Stacks (Circ),Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404899,2547527,2866677,Sib Music Stacks (Circ),Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829647,2554516,2866663,Sib Music Stacks (Circ),Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406133,2552450,2866648,Sib Music Stacks (Circ),Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408039,2554496,2866647,Sib Music Stacks (Circ),Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408175,2554640,2866773,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504991,1622040,2866769,NewsMicroCtr Microform,In Transit Discharged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047207,2180442,2866659,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829079,1963381,2866652,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832269,1967159,2866651,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222595,256955,2866649,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866816,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643462,1764105,2866748,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165150,1275735,2866782,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202597,235087,2866650,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515218,576757,2866841,Miner Lib Journals 2,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595732,1715202,2866698,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
